OFFSET       END               BYTES  PATH
0x1359D6AC   0x135CC7CC       192800  /boot.tpl
0x135CC7CC   0x135CCFA9         2013  /btl.so
0x135CCFAC   0x135CDE58         3756  /btl_ev002.so
0x135CDE58   0x135CF8E1         6793  /btl_ev003.so
0x135CF8E4   0x135D0227         2371  /btl_ev004.so
0x135D0228   0x135D093F         1815  /btl_ev005.so
0x135D0940   0x135D1057         1815  /btl_ev006.so
0x135D1058   0x135D176F         1815  /btl_ev007.so
0x135D1770   0x135D1E87         1815  /btl_ev008.so
0x135D1E88   0x135D259F         1815  /btl_ev009.so
0x135D25A0   0x13668660       614592  /change_disc.tpl
0x492D6080   0x492F82E0       139872  /collet.bin
0x492F82E0   0x49339A00       268064  /collet000.bin
0x49339A00   0x49378E60       259168  /collet001.bin
0x49378E60   0x493B4FE0       246144  /collet002.bin
0x493B4FE0   0x493B5000           32  /collet003.bin
0x493B5000   0x493FA840       284736  /collet004.bin
0x493FA840   0x49434240       236032  /collet005.bin
0x49434240   0x4944CD40       101120  /collet_ex.bin
0x4944CD40   0x49484D00       229312  /collet_low.bin
0x49484D00   0x49651A40      1887552  /col_all.bin
0x49651A40   0x49667440        88576  /col_wing.bin
0x13668660   0x14BD57A0     22466880  /d.d
0x14BD57A0   0x14BE9BA0        82944  /dep_fontb0.dat
0x14BE9BA0   0x14C591A0       456192  /dep_fontb1.dat
0x14C591B4   0x14C764DD       119593  /effect.cab
0x14C764E0   0x14C78FDC        11004  /end.txt
0x14C78FDC   0x14C9E81C       153664  /ending_A.tpl
0x14C9E81C   0x14CC405C       153664  /ending_B.tpl
0x14CC405C   0x14CDD9BC       104800  /end_roll.tpl
0x14CDD9BC   0x14D992BC       768256  /end_roll_wall.tpl
0x14D992BC   0x14D9EAE0        22564  /field_sil.so
0x14D9EAE0   0x14DA0C40         8544  /fin.tpl
0x14DA0C40   0x14DB5040        82944  /fontb0.dat
0x14DB5040   0x14E24640       456192  /fontb1.dat
0x14E24640   0x14E38A40        82944  /gage_fontb0.dat
0x14E38A40   0x14EA8040       456192  /gage_fontb1.dat
0x49667440   0x49694BE0       186272  /genius.bin
0x49694BE0   0x496CA5E0       219648  /genius000.bin
0x496CA5E0   0x49701A40       226400  /genius001.bin
0x49701A40   0x4972C9A0       175968  /genius002.bin
0x4972C9A0   0x497608C0       212768  /genius003.bin
0x497608C0   0x49787120       157792  /genius_ex.bin
0x49787120   0x497B6D80       195680  /genius_low.bin
0x497B6D80   0x49931180      1549312  /gen_all.bin
0x49931180   0x49957800       157312  /Kratos.bin
0x49957800   0x49998F20       268064  /kratos000.bin
0x49998F20   0x499D61A0       250496  /kratos001.bin
0x499D61A0   0x49A178C0       268064  /kratos002.bin
0x49A178C0   0x49A31480       105408  /kratos_ex.bin
0x49A31480   0x49A68F40       228032  /kratos_low.bin
0x49A68F40   0x49BB2140      1348096  /kra_all.bin
0x49BB2140   0x49BE41A0       204896  /lloyd.bin
0x49BE41A0   0x49C24BA0       264704  /lloyd000.bin
0x49C24BA0   0x49C65960       265664  /lloyd001.bin
0x49C65960   0x49CA8340       272864  /lloyd002.bin
0x49CA8340   0x49CDF7A0       226400  /lloyd003.bin
0x49CDF7A0   0x49CFB0A0       112896  /lloyd_ex.bin
0x49CFB0A0   0x49D30DC0       220448  /lloyd_low.bin
0x49D30DC0   0x49F27460      2057888  /llo_all.bin
0x14EA804C   0x14EAB962        14614  /mahou.cab
0x14EAB964   0x14EAB9E4          128  /mdl_ask_i00_00.anm
0x14EAB9E4   0x14EAE870        11916  /mdl_ask_i00_00_l.anm
0x14EAE870   0x14EB0248         6616  /mdl_ask_t02_ivt00.anm
0x14EB0248   0x14EE4548       213760  /mdl_ask_t02_ivt00.bin
0x14EE4548   0x14EE6640         8440  /mdl_ask_t02_ivt01.anm
0x14EE6640   0x14EE84E8         7848  /mdl_ask_t02_ivt02.anm
0x14EE84E8   0x14EEA080         7064  /mdl_ask_t02_ivt03.anm
0x14EEA080   0x14EEEE18        19864  /mdl_ask_t02_ivt04.anm
0x14EEEE18   0x14EF07F0         6616  /mdl_ask_t02_ivt05.anm
0x14EF07F0   0x14F1F430       191552  /mdl_bar_t01_ivt.bin
0x14F1F430   0x14F1F4EC          188  /mdl_iwa_d00_01.anm
0x14F1F4EC   0x14F1F6A8          444  /mdl_iwa_d00_02.anm
0x14F1F6A8   0x14F51DE8       206656  /mdl_izr_t01_ivt.bin
0x14F51DE8   0x14F532C0         5336  /mdl_spd_I00_00.anm
0x14F532C0   0x14F55C40        10624  /mdl_spd_I00_00_L.anm
0x14F55C40   0x14F59760        15136  /mdl_spd_t00.anm
0x14F59760   0x14F89F80       198688  /Minini.bin
0x14F89F80   0x14F89FC0           64  /minini_ex.bin
0x14F89FC0   0x14FB2EA0       167648  /min_all.bin
0x14FB2EA0   0x14FB7440        17824  /mv_terr.bin
0x48DBA6D0   0x48E91DC8       882424  /m_Top2Btl.rel
0x48E91DC8   0x48F00A44       453756  /m_Top2field.rel
0x14FB7440   0x14FC0F00        39616  /ndog01.bin
0x14FC0F00   0x14FCA8C0        39360  /ndog02.bin
0x14FCA8C0   0x14FD4380        39616  /ndog03.bin
0x14FD4380   0x1A2F9660     87184096  /npc_all.bin
0x1A2F9660   0x1A2FAFC0         6496  /opening.bnr
0x1A2FAFC0   0x1A2FD280         8896  /pic000.tpl
0x1A2FD280   0x1A301500        17024  /pic001.tpl
0x1A301500   0x1A3042A0        11680  /pic002.tpl
0x1A3042A0   0x1A306560         8896  /pic003.tpl
0x1A306560   0x1A31A960        82944  /pop_fontb0.dat
0x1A31A960   0x1A389F60       456192  /pop_fontb1.dat
0x49F27460   0x49F44780       119584  /presea.bin
0x49F44780   0x49F84440       261312  /presea000.bin
0x49F84440   0x49FC1F20       252640  /presea001.bin
0x49FC1F20   0x49FFE100       246240  /presea002.bin
0x49FFE100   0x4A03DB20       260640  /presea003.bin
0x4A03DB20   0x4A071560       211520  /presea004.bin
0x4A071560   0x4A08E320       118208  /presea_ex.bin
0x4A08E320   0x4A0C4A20       222976  /presea_low.bin
0x4A0C4A20   0x4A237680      1518688  /pre_all.bin
0x4A237680   0x4A256BA0       128288  /refill.bin
0x4A256BA0   0x4A292120       243072  /refill000.bin
0x4A292120   0x4A2CD860       243520  /refill001.bin
0x4A2CD860   0x4A309240       244192  /refill002.bin
0x4A309240   0x4A33ECA0       219744  /refill003.bin
0x4A33ECA0   0x4A358F80       107232  /refill_ex.bin
0x4A358F80   0x4A38E0C0       217408  /refill_low.bin
0x4A38E0C0   0x4A4D14E0      1324064  /ref_all.bin
0x4A4D14E0   0x4A4E7E60        92544  /Regal.bin
0x4A4E7E60   0x4A529A40       269280  /regal000.bin
